OBJECTID;ID;NOM_PARC;ADRESS_SSC;ADRESS_GEO;ACCES_VL;Arrdt;DELEG;SITE_DELEG;TEL;H_PARC_CM;H2_PARC_CM;TYPE_PARC;HORAIRE_NA;ASC_SURF;ACCES_MOTO;ACCES_VELO;V_ELEC_CH;AUTOPART;DATE_TA;AB_1M_E;AB_1A_E;TARIF_PR;PR_1A_MINE;PR_1A_MAXE;TARIF_RES;TF_RES_1AE;DATE_TH;TF_15MN_E;TF_30MN_E;TF_1H_E;TF_1H30_E;TF_2H_E;TF_3H_E;TF_4H_E;TF_7H_E;TF_8H_E;TF_9H_E;TF_10H_E;TF_11H_E;TF_12H_E;TF_24H_E;NB_PL_PMR;ABPMR_1M_E;ABPMR_1T_E;ABPMR_1A_E;MIS_A_JOUR;ABVE_1M_E;ABVE_1T_E;ABVE_1A_E;NB_PL_MOTO;TMOTO_1EHE;ABMOTO_1ME;ABMOTO_1TE;ABMOTO_1AE;TVELO_1M_E;POINT_X;POINT_Y;ZONES_RES;TF_15MN_MO;TF_30MN_MO;TF_24H_MOT;TF_PR_MOTO;PR_1A_MINM;PR_1A_MAXM;TF_RES_MO;TF_RES_1AM;AB_1A_PATT;PARC_AMOD;geo_shape;geo_point_2d
102;84;MAUBERT COLLEGE DES BERNARDINS;39 TER BOULEVARD SAINT-GERMAIN;39 TER BOULEVARD SAINT GERMAIN;E1;5;SAEMES;WWW.SAEMES.FR;01 43 26 97 01;185;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;OUI;42917;213,5;2135;NON;ND;ND;NON;ND;42339;1;2;4;6;8;12;16;28;32;36;36;36;36;36;1;106,75;298,9;1067,5;2018-02-01;106,75;298,9;1067,5;13;1,35;74,7;209;747;15;;;ND;0,3;0,65;12,55;NON;ND;ND;NON;ND;2669;NON;"{""type"": ""Point"", ""coordinates"": [2.350998190017846, 48.84942929966413]}";48.8494292997, 2.35099819002
109;3;ECOLE DE MEDECINE;8 TER RUE DE L'ÉCOLE DE MÉDECINE;8 TER RUE DE L ECOLE DE MEDECINE;E1;6;SAEMES;WWW.SAEMES.FR;01 43 29 61 38;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;OUI;42552;270;2754;OUI;1652;2203;NON;ND;42186;1;2;4;6;8;12;16;28;32;36;36;36;36;36;6;135;385;1377;2018-02-01;135;385;1377;17;1,4;94,5;269,3;955;15;;;4E 5E 5F 5G 5H 5J 6E 6F 6G 7L 7M 7N;0,4;0,7;12,6;NON;ND;ND;NON;ND;3414;NON;"{""type"": ""Point"", ""coordinates"": [2.3411273746428423, 48.85094609836075]}";48.8509460984, 2.34112737464
74;182;BIBLIOTHEQUE F. MITTERRAND (RIVE GAUCHE);19 RUE EMILE DURKHEIM, 24 RUE NEUVE TOLBIAC;24 RUE NEUVE TOLBIAC;E2;13;INDIGO;WWW.PARKINDIGO.FR;01 44 06 60 50;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;OUI;42614;235;2350;OUI;1410;1880;NON;ND;42614;0,9;1,8;3,6;5,4;7,2;10,8;14,4;25,2;28,8;32,4;32,4;32,4;32,4;32,4;11;118;329;1175;2018-02-01;118;329;1175;16;1,2;82;230;823;10;654329.957;6859219.484;5F 12E 12F 13J 13K 13L 13M 13N 13P 13R 13S;0,3;0,6;10,8;OUI;493,5;658;NON;ND;2938;NON;"{""type"": ""Point"", ""coordinates"": [2.377863969588443, 48.83141225312946]}";48.8314122531, 2.37786396959
31;8;LES HALLES ST EUSTACHE;22 RUE DES HALLES;22 RUE DES HALLES;E1;1;SAEMES;WWW.SAEMES.FR;01 42 36 57 37;185;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;OUI;42186;260;2600;OUI;1560;2080;NON;ND;42186;0,95;1,9;3,8;5,7;7,6;11,4;15,2;26,6;30,4;34,2;34,2;34,2;34,2;34,2;5;130;360;1300;2018-02-01;130;360;1300;16;1,3;91;252;910;15;652057.879;6862433.174;TROIS PREMIERS ARRONDISSEMENTS;0,35;0,7;11,7;NON;ND;ND;OUI;765;3250;NON;"{""type"": ""Point"", ""coordinates"": [2.346551896305018, 48.86014793509658]}";48.8601479351, 2.34655189631
58;22;PORTE D AUTEUIL;8 AVENUE DU GÉNÉRAL SARRAIL;8 AVENUE DU GENERAL SARRAIL;E1;16;SPIE AUTOCITE;WWW.AUTOCITE.FR;01 46 51 90 18;185;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;42370;143;1430;OUI;858;1144;NON;ND;43101;1;2;4;6;8;12;16;28;32;36;40;44;44;44;23;71,5;200,2;715;2018-02-01;71,5;200,2;715;30;1,4;50,05;140,1;500,5;12;645404.0842;6860973.704;16R 16S 16T 16U 16V 16W 16X 16Y 16Z;0,35;0,7;15,4;OUI;300,3;400,4;NON;ND;1787,5;NON;"{""type"": ""Point"", ""coordinates"": [2.2560535431737962, 48.84649361013941]}";48.8464936101, 2.25605354317
34;117;MAINE BASCH ALESIA;204 ET 205  AVENUE DU MAINE;204 AVENUE DU MAINE;E1;14;INDIGO;WWW.PARKINDIGO.FR;01 43 20 56 99;185;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;OUI;42583;193;2007;NON;ND;ND;NON;ND;42736;1,05;2,1;4,2;6,3;8,4;12,6;16,8;29,4;33,6;37,8;37,8;37,8;37,8;37,8;10;96,5;275;1004;2018-02-01;96,5;275;1004;48;1,2;68;194;707;10;650495.0137;6859117.838;ND;0,3;0,6;10,8;NON;ND;ND;NON;ND;2509;NON;"{""type"": ""Point"", ""coordinates"": [2.325637068308894, 48.83021499784253]}";48.8302149978, 2.32563706831
55;53;PLACE VICTOR HUGO;76 AVENUE VICTOR HUGO;76 AVENUE VICTOR HUGO;E1;16;INDIGO;WWW.PARKINDIGO.FR;01 47 04 75 81;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;NON;NON;42583;315;3276;NON;ND;ND;NON;ND;42736;1,15;2,3;4,6;6,9;9,2;13,8;18,4;32,2;36,8;39,6;39,6;39,6;39,6;39,6;6;157,5;449;1638;2018-02-01;157,5;449;1638;28;1,6;110;314;1147;10;647514.3316;6863506.527;ND;0,4;0,8;13,6;NON;ND;ND;NON;ND;4095;NON;"{""type"": ""Point"", ""coordinates"": [2.284494311188787, 48.869446200015354]}";48.8694462, 2.28449431119
81;148;WILSON 1 (SURFACE);38 AVENUE DU PRÉSIDENT WILSON;38 AVENUE DU PRESIDENT WILSON;E1;16;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;ACCESSIBLE DE PLAIN PIED;NON;OUI;NON;NON;43101;135;1350;OUI;810;1080;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1;67,5;192,5;675;2018-02-01;67,5;192,5;675;0;ND;ND;ND;ND;ND;647895.5878;6862879.841;16F 16G 16H 16I 16J 16K;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.289768307855145, 48.86384150892645]}";48.8638415089, 2.28976830786
76;138;VERSAILLES REYNAUD;178 AVENUE DE VERSAILLES;178 AVENUE DE VERSAILLES;E1;16;INDIGO;WWW.PARKINDIGO.FR;01 40 71 63 43;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;NON;NON;42583;206;2142;NON;ND;ND;NON;ND;42614;1,1;2,2;4,4;6,6;8,8;13,2;17,6;30,8;35,2;39,6;39,6;39,6;39,6;39,6;1;ND;ND;ND;2018-02-01;ND;ND;1071;20;ND;91;259;946;ND;645871.6408;6860215.32;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.262520803329149, 48.83971296441354]}";48.8397129644, 2.26252080333
39;102;MAIRIE DU 19EME;5 RUE ANDRÉ DUBOIS;5 RUE ANDRE DUBOIS;E1;19;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;190;;ABONNES;POUR ABONNES;NON;NON;NON;NON;OUI;42917;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;2;ND;ND;ND;2018-02-01;ND;ND;ND;13;ND;67;180;665;ND;654659.506;6865010.605;ND;ND;ND;ND;NON;ND;ND;NON;ND;1663;NON;"{""type"": ""Point"", ""coordinates"": [2.381735360133649, 48.88351464193063]}";48.8835146419, 2.38173536013
